kabupaten/kota,kecamatan,tahun,luas panen (ha),produksi (Ton),produktivitas (Ku/Ha)
Ngawi,Pitu,2020,1880,12086,"64,28723404"
Ngawi,Gerih,2020,4002,25738,"64,31284358"
Ngawi,Gerih,2024,4741,30502,"64,33663784"
Ngawi,Ngawi,2023,8406,54092,"64,34927433"
Ngawi,Kedunggalar,2021,14480,93255,"64,40262431"
Ngawi,Paron,2021,16597,106937,"64,43152377"
Ngawi,Paron,2025,16304,105123,"64,47681551"
Ngawi,Gerih,2025,4136,26677,"64,49951644"
Ngawi,Pitu,2024,2259,14589,"64,58167331"
Ngawi,Bringin,2025,3981,25721,"64,60939462"
Bone,Sibulue,2023,6951,44938,"64,64969069"
Bone,Sibulue,2024,6951,44938,"64,64969069"
Bone,Sibulue,2022,7684,49677,"64,64992192"
Ngawi,Kedunggalar,2020,12992,83994,"64,65055419"
Indramayu,Patrol,2016,4950,32008,"64,66262626"
Bone,Kahu,2025,16998,109926,"64,66996117"
Ngawi,Karangjati,2021,8276,53552,"64,70758821"
Bone,Sibulue,2025,8633,55925,"64,78049346"
Ngawi,Widodaren,2024,12909,83650,"64,79975211"
Ngawi,Kwadungan,2022,6167,39971,"64,81433436"
Ngawi,Mantingan,2020,6815,44189,"64,84079237"
Ngawi,Geneng,2024,9936,64441,"64,8560789"
Ngawi,Paron,2022,16503,107159,"64,93304248"
Ngawi,Bringin,2024,3597,23390,"65,0264109"
Indramayu,-,2021,215111,1400000,"65,08267825"
Ngawi,Mantingan,2024,7025,45732,"65,09893238"
Bone,Mare,2022,9345,60855,"65,12038523"
Ngawi,Gerih,2023,5081,33093,"65,13087975"
Ngawi,Pitu,2023,1721,11210,"65,13654852"
Ngawi,Karangjati,2024,6824,44481,"65,18317702"
Ngawi,Karangjati,2023,7226,47140,"65,23664545"
Bone,Tellu slattinge,2025,6764,44182,"65,31933767"
Bone,Tellu slattinge,2022,8623,56325,"65,31949438"
Bone,Tellu slattinge,2023,6438,42053,"65,31997515"
